date,screen_time_min,unlock_count,app_usage_var,distinct_locations,steps,sleep_hours,calls_made,calls_missed,social_media_min,work_related_min,avg_heart_rate,mood_score
15-08-2025,291.1272456,72.15783694,1.087921742,3,3009.752351,6.593439307,0,3,61.05229618,141.2056269,75.77072127,5
16-08-2025,188.9578175,50.72970104,0.785694575,2,7765.573697,6.080357976,8,4,110.5815438,115.1071198,67.96954614,5
17-08-2025,260.4431798,85.92240554,1.559732353,2,3903.887895,9.86847646,7,0,121.7527346,281.2284981,73.71145873,5
18-08-2025,152.0164938,85.22110544,1.142149876,2,3080.1204,8.597840624,0,3,37.23781541,232.8983854,63.96014813,4
19-08-2025,183.5906976,80.10226913,0.642608951,1,4643.912058,4.31193235,5,7,54.50224462,179.5216415,70.86589787,4
20-08-2025,259.8430618,75.30825733,1.196966083,1,7808.008521,6.329839732,4,2,28.82303467,268.7966483,68.44322765,5
21-08-2025,286.923329,51.69258516,0.707595499,1,4970.836789,8.807384383,5,5,81.91779497,184.6420985,81.67782062,2
22-08-2025,258.5684141,71.58709354,1.236125381,3,3601.112515,5.205009296,9,6,111.5262677,128.3229479,72.54420843,3
23-08-2025,244.2175859,73.14570967,1.347578674,5,3057.586288,8.156017494,11,0,135.0707116,271.3874446,73.37602662,3
24-08-2025,234.9448152,63.95445462,0.753795304,2,4842.322243,8.000584155,12,0,92.22284341,212.3346026,65.88123034,3
25-08-2025,176.0739005,76.77428577,1.289012839,2,2007.557643,5.951280133,12,0,138.8584664,117.7652307,65.12393776,4
26-08-2025,214.0077896,88.08101714,1.123834278,3,3049.710738,6.986774431,12,4,48.59695625,168.5796793,65.67441812,4
27-08-2025,226.9680615,117.723718,1.246618048,2,7314.601478,3.864973377,14,3,38.89852682,127.4629048,73.94452142,2
28-08-2025,302.8561113,83.49155626,1.569037895,1,6984.895711,9.655647275,4,4,88.33356903,97.03201614,65.79015519,3
29-08-2025,267.1809145,85.15100781,0.926383565,5,4807.38178,6.536361236,5,3,101.5219635,235.5706529,72.89774857,3
30-08-2025,161.8479922,78.51108168,0.773879151,4,4301.502843,8.205719577,4,7,89.01915756,294.5649984,90.75400799,5
31-08-2025,266.2041985,41.62457569,0.733145671,2,5087.763353,7.920762012,10,4,27.976737,96.08594557,78.71124703,4
01-09-2025,230.745886,79.46972249,0.755256915,1,8521.995393,9.036821182,11,4,87.32639881,213.7781542,66.73976468,3
02-09-2025,216.1539,81.2046042,0.976869487,4,5607.463263,6.35004489,4,5,50.86591498,140.9614459,82.01213922,2
03-09-2025,280.5838144,129.2648422,1.102345592,5,6364.607262,7.305734091,3,2,110.0901765,150.772477,65.91924627,2
04-09-2025,301.5499761,76.1527807,1.08300724,4,4696.313711,7.838663804,2,4,100.9979474,144.4563645,50,3
05-09-2025,296.564006,86.03094685,1.248154975,1,5091.344911,8.308812387,2,5,61.80360641,128.1605538,59.91913689,4
06-09-2025,208.0391238,79.30576461,1.003900568,4,5970.744045,8.731531508,3,1,74.58399248,182.9112977,51.29208079,2
07-09-2025,234.5393812,56.62643925,1.436060223,3,5189.142242,6.283927404,8,2,58.22359434,130.142993,66.48486516,5
08-09-2025,266.5631716,102.8564563,0.92060295,4,2153.934526,6.003658835,1,7,88.11962708,196.2274095,70.18418379,2
09-09-2025,298.7772564,95.03866065,1.81605075,2,6920.811143,9.040167049,14,4,118.6542696,176.9857134,86.76437312,1
10-09-2025,4523.67,38.09877,1.000201,1,1964.78,5.80076,3,2,333.876,173.67,85,2
